title,genres,one_star,two_star,three_star,four_star,five_star,rating
Demons Beside You,Comedy,5,0,2,12,6,3.6
Demons Beside You,Action,5,0,2,12,6,3.6
Demons Beside You,Slice of Life,5,0,2,12,6,3.6
Demons Beside You,Fantasy,5,0,2,12,6,3.6
It Might Be a Hottie,Shounen Ai,1,4,6,12,18,4
It Might Be a Hottie,Tragedy,1,4,6,12,18,4
It Might Be a Hottie,Supernatural,1,4,6,12,18,4
The Steward Demonic Emperor,Xianxia,27,12,13,14,65,3.6
The Steward Demonic Emperor,Adventure,27,12,13,14,65,3.6
The Steward Demonic Emperor,Action,27,12,13,14,65,3.6
The Steward Demonic Emperor,Martial Arts,27,12,13,14,65,3.6
The Steward Demonic Emperor,Romance,27,12,13,14,65,3.6
My Wife Is the Martial Alliance Head,School Life,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Mature,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Xuanhuan,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Harem,14,2,4,4,17,3.2
